"discretization","discretization_method","min_support","airi_metric","LHS","RHS","rule_support","confidence","coverage","lift","count","conviction","chi_p_adj","mutualInfo","improvement","key_item","LHSsize"
"quartile","Equal frequency (4 bins)",5e-04,"improvement","{taxon=Archaea_Crenarchaeota_Nitrososphaeria_Nitrosopumilales_Nitrosopumilaceae_,WaterMass=WCW}","{Classification=Abundant}",0.000550098231827112,1,0.000550098231827112,21.7893835616438,7,Inf,8.31457707950236e-29,NA,1,"Archaea_Crenarchaeota_Nitrososphaeria_Nitrosopumilales_Nitrosopumilaceae_",2
"quartile","Equal frequency (4 bins)",5e-04,"improvement","{taxon=Archaea_Crenarchaeota_Nitrososphaeria_Nitrosopumilales_Nitrosopumilaceae_Candidatus Nitrosopumilus,PelagicLayer=Mesopelagic,NO2=very high,Temperature=very low}","{Classification=Abundant}",0.000864440078585462,0.846153846153846,0.00102161100196464,18.4371707060063,11,6.20168958742633,1.4175247006909e-38,0.278065129136763,0.846153846153846,"Archaea_Crenarchaeota_Nitrososphaeria_Nitrosopumilales_Nitrosopumilaceae_Candidatus Nitrosopumilus",4
"quartile","Equal frequency (4 bins)",5e-04,"improvement","{taxon=Bacteria_Actinobacteriota_Acidimicrobiia_Microtrichales_Microtrichaceae_Sva0996 marine group,PelagicLayer=Bathypelagic}","{Classification=Undetermined}",0.000550098231827112,0.875,0.000628683693516699,5.43670654296875,7,6.7124557956778,0.00202058090853772,0.148684177283119,0.875,"Bacteria_Actinobacteriota_Acidimicrobiia_Microtrichales_Microtrichaceae_Sva0996 marine group",2
"quartile","Equal frequency (4 bins)",5e-04,"improvement","{taxon=Bacteria_Bacteroidota_Bacteroidia_Cytophagales_Cyclobacteriaceae_Marinoscillum,PelagicLayer=Epipelagic,Si=high,Temperature=low}","{Classification=Undetermined}",0.000550098231827112,1,0.000550098231827112,6.21337890625,7,Inf,7.96156531334597e-05,NA,1,"Bacteria_Bacteroidota_Bacteroidia_Cytophagales_Cyclobacteriaceae_Marinoscillum",4
"quartile","Equal frequency (4 bins)",5e-04,"improvement","{taxon=Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Crocinitomicaceae_Fluviicola,NO2=high,Chl=very low}","{Classification=Undetermined}",0.000550098231827112,0.875,0.000628683693516699,5.43670654296875,7,6.7124557956778,0.00202058090853772,0.148684177283119,0.875,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Crocinitomicaceae_Fluviicola",3
"quartile","Equal frequency (4 bins)",5e-04,"improvement","{taxon=Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Cryomorphaceae_,Chl=Unknown,Salinity=very high}","{Classification=Undetermined}",0.000943025540275049,0.923076923076923,0.00102161100196464,5.73542668269231,12,10.9077406679764,3.8568094626358e-09,0.181425937145076,0.923076923076923,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Cryomorphaceae_",3
"quartile","Equal frequency (4 bins)",5e-04,"improvement","{taxon=Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_,Si=low,Temperature=very high}","{Classification=Abundant}",0.000707269155206287,1,0.000707269155206287,21.7893835616438,9,Inf,6.69575943431961e-38,NA,1,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_",3
"quartile","Equal frequency (4 bins)",5e-04,"improvement","{taxon=Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_Aurantivirga,Chl=Unknown,Salinity=low}","{Classification=Abundant}",0.000550098231827112,1,0.000550098231827112,21.7893835616438,7,Inf,8.31457707950236e-29,NA,1,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_Aurantivirga",3
"quartile","Equal frequency (4 bins)",5e-04,"improvement","{taxon=Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_Formosa,NH4=Unknown,Chl=very high}","{Classification=Abundant}",0.000707269155206287,0.818181818181818,0.000864440078585462,17.8276774595268,9,5.24758349705305,9.29074745549782e-30,0.25598999823493,0.818181818181818,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_Formosa",3
"quartile","Equal frequency (4 bins)",5e-04,"improvement","{taxon=Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_NS2b marine group,NH4=Unknown,Temperature=very high,WaterMass=AW}","{Classification=Undetermined}",0.000628683693516699,0.8,0.000785854616895874,4.970703125,8,4.19528487229862,0.00197810100535247,0.122386441352253,0.8,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_NS2b marine group",4
