"LHS","RHS","support","confidence","lift","itemset","conviction","dependence_p_adj","dependence_test","mutualInfo","improvement","key_item","LHSsize","Metric"
"{taxa=Archaea NA Thaumarchaeota NA NA NA Candidatus_Nitrosopelagicus}","{Classification=Rare}",0.00186813137700947,0.914660831509847,0.935293441701617,1956,0.258498410621511,1.1094770448941e-16,"chisq",0.00757119745689293,0.914660831509847,"Archaea NA Thaumarchaeota NA NA NA Candidatus_Nitrosopelagicus",1,"Improvement"
"{taxa=Archaea NA Thaumarchaeota NA Nitrosopumilales Nitrosopumilaceae NA}","{Classification=Rare}",0.00191729272903604,0.944933920704846,0.966249421020631,1928,0.400610315839341,0.00610374723707701,"chisq",0.00249768372903037,0.944933920704846,"Archaea NA Thaumarchaeota NA Nitrosopumilales Nitrosopumilaceae NA",1,"Improvement"
"{taxa=Bacteria NA Actinobacteria Actinobacteria Candidatus_Actinomarinales Candidatus_Actinomarinaceae Candidatus_Actinomarina}","{Classification=Rare}",0.00151953269900292,0.880829015544041,0.900698459054945,1461,0.185112504685388,4.48345793178777e-35,"chisq",0.0148437845111633,0.880829015544041,"Bacteria NA Actinobacteria Actinobacteria Candidatus_Actinomarinales Candidatus_Actinomarinaceae Candidatus_Actinomarina",1,"Improvement"
"{taxa=Bacteria NA Bacteroidetes Flavobacteriia Flavobacteriales Crocinitomicaceae Fluviicola}","{Classification=Rare}",0.00133182571853785,0.807588075880759,0.825805375005358,1294,0.114650064019914,1.4459826138298e-106,"chisq",0.035547085533867,0.807588075880759,"Bacteria NA Bacteroidetes Flavobacteriia Flavobacteriales Crocinitomicaceae Fluviicola",1,"Improvement"
"{taxa=Bacteria NA Bacteroidetes Flavobacteriia Flavobacteriales Cryomorphaceae NA}","{Classification=Rare}",0.00146143291933516,0.865079365079365,0.884593533293132,1395,0.163503821572159,5.62248910199513e-47,"chisq",0.0187941890646367,0.865079365079365,"Bacteria NA Bacteroidetes Flavobacteriia Flavobacteriales Cryomorphaceae NA",1,"Improvement"
"{taxa=Bacteria NA Planctomycetes Phycisphaerae Phycisphaerales Phycisphaeraceae NA,device=membrane}","{Classification=Rare}",0.00165807832744142,0.944020356234097,0.965315248671026,2049,0.394072522338959,0.0170923431630918,"chisq",0.00256711694684787,0.944020356234097,"Bacteria NA Planctomycetes Phycisphaerae Phycisphaerales Phycisphaeraceae NA",2,"Improvement"
"{taxa=Bacteria NA Planctomycetes Planctomycetia Planctomycetales NA NA,device=membrane,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00109942659986682,0.931818181818182,0.952837821724837,1999,0.323547244804167,0.00122785436906039,"chisq",0.00413067326420737,-0.0476823274686496,"Bacteria NA Planctomycetes Planctomycetia Planctomycetales NA NA",3,"Improvement"
"{taxa=Bacteria NA Planctomycetes Planctomycetia Planctomycetales Planctomycetaceae NA,device=membrane,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00125137986976711,0.936454849498328,0.957579081788889,2150,0.347155357164279,0.00379893157692986,"chisq",0.00350399981225039,-0.0430456597885036,"Bacteria NA Planctomycetes Planctomycetia Planctomycetales Planctomycetaceae NA",3,"Improvement"
"{taxa=Bacteria NA Proteobacteria Alphaproteobacteria Pelagibacterales NA NA}","{Classification=Abundant}",0.00181450081116231,0.876889848812095,180.835699853689,2059,8.0834187384413,0,"chisq",0.625239023299441,0.876889848812095,"Bacteria NA Proteobacteria Alphaproteobacteria Pelagibacterales NA NA",1,"Improvement"
"{taxa=Bacteria NA Proteobacteria Alphaproteobacteria Pelagibacterales Pelagibacteraceae NA}","{Classification=Rare}",0.00427256841249056,1,1.02255766233885,2495,Inf,0.0121041526071912,"chisq",NA,1,"Bacteria NA Proteobacteria Alphaproteobacteria Pelagibacterales Pelagibacteraceae NA",1,"Improvement"
