"LHS","RHS","support","confidence","lift","itemset","conviction","dependence_p_adj","dependence_test","mutualInfo","improvement","key_item","LHSsize","Metric"
"{taxa=Archaea NA Thaumarchaeota NA NA NA Candidatus_Nitrosopelagicus,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00121115694538174,0.874193548387097,0.893913311270413,1953,0.175349031274985,5.5278774054786e-32,"chisq",0.0160051047381695,-0.105306960899735,"Archaea NA Thaumarchaeota NA NA NA Candidatus_Nitrosopelagicus",2,"Mutual information"
"{taxa=Archaea NA Thaumarchaeota NA Nitrosopumilales Nitrosopumilaceae NA,device=membrane,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00108601895840503,0.920454545454545,0.941217848289168,1924,0.277326209832143,7.35180005790494e-07,"chisq",0.00598710244727308,-0.059045963832286,"Archaea NA Thaumarchaeota NA Nitrosopumilales Nitrosopumilaceae NA",3,"Mutual information"
"{taxa=Bacteria NA Actinobacteria Actinobacteria Candidatus_Actinomarinales Candidatus_Actinomarinaceae Candidatus_Actinomarina,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00118434166245816,0.854838709677419,0.8741218726445,1458,0.151969160438321,8.91305433968961e-46,"chisq",0.0209704310409883,-0.124661799609412,"Bacteria NA Actinobacteria Actinobacteria Candidatus_Actinomarinales Candidatus_Actinomarinaceae Candidatus_Actinomarina",2,"Mutual information"
"{taxa=Bacteria NA Bacteroidetes Flavobacteriia Flavobacteriales Crocinitomicaceae Fluviicola}","{Classification=Rare}",0.00133182571853785,0.807588075880759,0.825805375005358,1294,0.114650064019914,1.4459826138298e-106,"chisq",0.035547085533867,0.807588075880759,"Bacteria NA Bacteroidetes Flavobacteriia Flavobacteriales Crocinitomicaceae Fluviicola",1,"Mutual information"
"{taxa=Bacteria NA Bacteroidetes Flavobacteriia Flavobacteriales Cryomorphaceae NA,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00119774930391995,0.842767295597484,0.861778155681797,1392,0.140301850701443,4.86414819049348e-57,"chisq",0.024357657786698,-0.136733213689347,"Bacteria NA Bacteroidetes Flavobacteriia Flavobacteriales Cryomorphaceae NA",2,"Mutual information"
"{taxa=Bacteria NA Planctomycetes Phycisphaerae Phycisphaerales Phycisphaeraceae NA,device=membrane,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00108601895840503,0.920454545454545,0.941217848289168,2046,0.277326209832143,7.35180005790494e-07,"chisq",0.00598710244727308,-0.059045963832286,"Bacteria NA Planctomycetes Phycisphaerae Phycisphaerales Phycisphaeraceae NA",3,"Mutual information"
"{taxa=Bacteria NA Planctomycetes Planctomycetia Planctomycetales NA NA,device=membrane,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00109942659986682,0.931818181818182,0.952837821724837,1999,0.323547244804167,0.00122785436906039,"chisq",0.00413067326420737,-0.0476823274686496,"Bacteria NA Planctomycetes Planctomycetia Planctomycetales NA NA",3,"Mutual information"
"{taxa=Bacteria NA Planctomycetes Planctomycetia Planctomycetales Planctomycetaceae NA,device=membrane,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00125137986976711,0.936454849498328,0.957579081788889,2150,0.347155357164279,0.00379893157692986,"chisq",0.00350399981225039,-0.0430456597885036,"Bacteria NA Planctomycetes Planctomycetia Planctomycetales Planctomycetaceae NA",3,"Mutual information"
"{taxa=Bacteria NA Proteobacteria Alphaproteobacteria Pelagibacterales NA NA}","{Classification=Abundant}",0.00181450081116231,0.876889848812095,180.835699853689,2059,8.0834187384413,0,"chisq",0.625239023299441,0.876889848812095,"Bacteria NA Proteobacteria Alphaproteobacteria Pelagibacterales NA NA",1,"Mutual information"
"{taxa=Bacteria NA Proteobacteria Alphaproteobacteria Pelagibacterales Pelagibacteraceae NA}","{Classification=Rare}",0.00427256841249056,1,1.02255766233885,2495,Inf,0.0121041526071912,"chisq",NA,1,"Bacteria NA Proteobacteria Alphaproteobacteria Pelagibacterales Pelagibacteraceae NA",1,"Mutual information"
