"","LHS","RHS","support","confidence","coverage","lift","count","conviction","mutualInfo","improvement","Metric"
"1","{taxa=Bacteria NA Proteobacteria Alphaproteobacteria Pelagibacterales Pelagibacteraceae NA}","{Classification=Rare}",0.00427256841249056,1,0.00427256841249056,1.02255766233885,956,Inf,NA,1,"Complexity"
"2","{taxa=Bacteria NA Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae NA,device=membrane,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Undetermined}",0.00102791917873727,0.867924528301887,0.00118434166245816,50.4286463207302,230,7.44111715022496,0.408832989180417,0.00210983181626379,"Complexity"
"3","{taxa=Bacteria NA Proteobacteria Alphaproteobacteria Pelagibacterales NA NA,device=membrane,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Abundant}",0.00100557310963428,0.852272727272727,0.00117987244863756,175.759059488898,225,6.73640611264688,0.544879645367351,-0.0246171215393678,"Complexity"
"4","{taxa=Eukaryota Bacillariophyta Bacillariophyta Coscinodiscophyceae Rhizosoleniales Rhizosoleniaceae Rhizosolenia,size_fraction=>20 µm,device=membrane}","{Classification=Rare}",0.00133182571853785,0.94006309148265,0.00141674078112919,0.96126871727753,298,0.36805434187651,0.00301929794059908,-0.0333121676932052,"Complexity"
"5","{taxa=Eukaryota Bacillariophyta Bacillariophyta Bacillariophyceae NA NA NA,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00115752637953458,0.938405797101449,0.00123350301448472,0.959574038209283,259,0.358151228205682,0.0031914683235666,-0.0410947121853822,"Complexity"
"6","{taxa=Bacteria NA Planctomycetes Planctomycetia Planctomycetales Planctomycetaceae NA,device=membrane,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00125137986976711,0.936454849498328,0.00133629493235845,0.957579081788889,280,0.347155357164279,0.00350399981225039,-0.0430456597885036,"Complexity"
"7","{taxa=Bacteria NA Planctomycetes Planctomycetia Planctomycetales NA NA,device=membrane,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00109942659986682,0.931818181818182,0.00117987244863756,0.952837821724837,246,0.323547244804167,0.00413067326420737,-0.0476823274686496,"Complexity"
"8","{taxa=Bacteria NA Proteobacteria Deltaproteobacteria NA NA NA,size_fraction=>20 µm,device=membrane,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00103685760637846,0.931726907630522,0.00111283424132861,0.952744488604872,232,0.323114695011648,0.00411305884545085,-0.0477736016563093,"Complexity"
"9","{taxa=Eukaryota Bacillariophyta Bacillariophyta Coscinodiscophyceae Chaetocerotales Chaetocerotaceae NA,device=membrane}","{Classification=Rare}",0.00134076414617905,0.93167701863354,0.00143908685023218,0.952693474228742,300,0.322878758761183,0.00426330390763439,-0.009656314699793,"Complexity"
"10","{taxa=Bacteria NA Proteobacteria Gammaproteobacteria Chromatiales Ectothiorhodospiraceae NA,device=membrane,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00109495738604622,0.921052631578947,0.00118881087627875,0.941829425838414,245,0.279427165967235,0.00588924426180382,-0.0584478777078841,"Complexity"
"11","{taxa=Archaea NA Thaumarchaeota NA Nitrosopumilales Nitrosopumilaceae NA,device=membrane,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00108601895840503,0.920454545454545,0.00117987244863756,0.941217848289168,243,0.277326209832143,0.00598710244727308,-0.059045963832286,"Complexity"
"12","{taxa=Bacteria NA Planctomycetes Phycisphaerae Phycisphaerales Phycisphaeraceae NA,device=membrane,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00108601895840503,0.920454545454545,0.00117987244863756,0.941217848289168,243,0.277326209832143,0.00598710244727308,-0.059045963832286,"Complexity"
