"","LHS","RHS","support","confidence","coverage","lift","count","conviction","mutualInfo","improvement","Metric"
"1","{taxa=Archaea NA Thaumarchaeota NA NA NA Candidatus_Nitrosopelagicus}","{Classification=Rare}",0.00186813137700947,0.914660831509847,0.00204243071601275,0.935293441701617,418,0.258498410621511,0.00757119745689293,0.914660831509847,"Improvement"
"2","{taxa=Archaea NA Thaumarchaeota NA Nitrosopumilales Nitrosopumilaceae NA}","{Classification=Rare}",0.00191729272903604,0.944933920704846,0.00202902307455096,0.966249421020631,429,0.400610315839341,0.00249768372903037,0.944933920704846,"Improvement"
"3","{taxa=Bacteria NA Actinobacteria Actinobacteria Candidatus_Actinomarinales Candidatus_Actinomarinaceae Candidatus_Actinomarina}","{Classification=Rare}",0.00151953269900292,0.880829015544041,0.00172511653475037,0.900698459054945,340,0.185112504685388,0.0148437845111633,0.880829015544041,"Improvement"
"4","{taxa=Bacteria NA Bacteroidetes Flavobacteriia Flavobacteriales Crocinitomicaceae Fluviicola}","{Classification=Rare}",0.00133182571853785,0.807588075880759,0.00164913989980023,0.825805375005358,298,0.114650064019914,0.035547085533867,0.807588075880759,"Improvement"
"5","{taxa=Bacteria NA Bacteroidetes Flavobacteriia Flavobacteriales Cryomorphaceae NA}","{Classification=Rare}",0.00146143291933516,0.865079365079365,0.0016893628241856,0.884593533293132,327,0.163503821572159,0.0187941890646367,0.865079365079365,"Improvement"
"6","{taxa=Bacteria NA Planctomycetes Phycisphaerae Phycisphaerales Phycisphaeraceae NA,device=membrane}","{Classification=Rare}",0.00165807832744142,0.944020356234097,0.00175640103149455,0.965315248671026,371,0.394072522338959,0.00256711694684787,0.944020356234097,"Improvement"
"7","{taxa=Bacteria NA Planctomycetes Planctomycetia Planctomycetales NA NA,device=membrane,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00109942659986682,0.931818181818182,0.00117987244863756,0.952837821724837,246,0.323547244804167,0.00413067326420737,-0.0476823274686496,"Improvement"
"8","{taxa=Bacteria NA Planctomycetes Planctomycetia Planctomycetales Planctomycetaceae NA,device=membrane,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00125137986976711,0.936454849498328,0.00133629493235845,0.957579081788889,280,0.347155357164279,0.00350399981225039,-0.0430456597885036,"Improvement"
"9","{taxa=Bacteria NA Proteobacteria Alphaproteobacteria Pelagibacterales NA NA}","{Classification=Abundant}",0.00181450081116231,0.876889848812095,0.00206924599893633,180.835699853689,406,8.0834187384413,0.625239023299441,0.876889848812095,"Improvement"
"10","{taxa=Bacteria NA Proteobacteria Alphaproteobacteria Pelagibacterales Pelagibacteraceae NA}","{Classification=Rare}",0.00427256841249056,1,0.00427256841249056,1.02255766233885,956,Inf,NA,1,"Improvement"
"11","{taxa=Bacteria NA Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae NA,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Undetermined}",0.00121115694538174,0.865814696485623,0.0013988639258468,50.3060596683323,271,7.32411845289438,0.416792769970993,0.865814696485623,"Improvement"
"12","{taxa=Bacteria NA Proteobacteria Alphaproteobacteria Rickettsiales NA NA}","{Classification=Rare}",0.0018279084526241,0.883369330453564,0.00206924599893633,0.903296077530431,409,0.189144412050921,0.0145979705919934,0.883369330453564,"Improvement"
"13","{taxa=Bacteria NA Proteobacteria Deltaproteobacteria NA NA NA,size_fraction=>20 µm,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00103685760637846,0.931726907630522,0.00111283424132861,0.952744488604872,232,0.323114695011648,0.00411305884545085,-0.0477736016563093,"Improvement"
"14","{taxa=Bacteria NA Proteobacteria Gammaproteobacteria Cellvibrionales NA NA}","{Classification=Rare}",0.00181003159734171,0.9,0.00201114621926857,0.920301896104964,405,0.220600394184659,0.0106376228228817,0.9,"Improvement"
"15","{taxa=Bacteria NA Proteobacteria Gammaproteobacteria Cellvibrionales Porticoccaceae NA}","{Classification=Rare}",0.0016893628241856,0.933333333333333,0.00181003159734171,0.954387151516259,378,0.330900591276988,0.00413473340378556,0.933333333333333,"Improvement"
"16","{taxa=Bacteria NA Proteobacteria Gammaproteobacteria Chromatiales Ectothiorhodospiraceae NA}","{Classification=Rare}",0.00194410801195962,0.941558441558442,0.00206477678511573,0.96279779895541,435,0.377471785604861,0.00296650549707961,0.941558441558442,"Improvement"
"17","{taxa=Bacteria NA Proteobacteria Gammaproteobacteria Oceanospirillales NA NA}","{Classification=Rare}",0.00184131609408589,0.901531728665208,0.00204243071601275,0.921868176988197,412,0.224031955871976,0.0103217946682705,0.901531728665208,"Improvement"
"18","{taxa=Bacteria NA Proteobacteria Gammaproteobacteria Thiotrichales Thiotrichaceae NA}","{Classification=Rare}",0.00193963879813902,0.941431670281996,0.00206030757129513,0.962668168015316,434,0.376654747107881,0.00298353399290862,0.941431670281996,"Improvement"
"19","{taxa=Eukaryota Bacillariophyta Bacillariophyta Bacillariophyceae NA NA NA}","{Classification=Rare}",0.00171617810710918,0.903529411764706,0.00189941587375365,0.923910923148513,384,0.228671140313366,0.00978344379930493,0.903529411764706,"Improvement"
"20","{taxa=Eukaryota Bacillariophyta Bacillariophyta Coscinodiscophyceae Chaetocerotales Chaetocerotaceae Chaetoceros}","{Classification=Rare}",0.00635969126670927,0.921632124352332,0.00690046613900149,0.942421990614108,1423,0.281493395554639,0.00756801882030262,0.921632124352332,"Improvement"
"21","{taxa=Eukaryota Bacillariophyta Bacillariophyta Coscinodiscophyceae Chaetocerotales Chaetocerotaceae NA}","{Classification=Rare}",0.00157763247867068,0.941333333333333,0.00167595518272381,0.96256761281497,353,0.376023399178396,0.0029120365672885,0.941333333333333,"Improvement"
"22","{taxa=Eukaryota Bacillariophyta Bacillariophyta Coscinodiscophyceae NA NA NA}","{Classification=Rare}",0.00146590213315576,0.921348314606742,0.00159104012013247,0.942131778784108,328,0.280477644034781,0.00607096603799614,0.921348314606742,"Improvement"
"23","{taxa=Eukaryota Bacillariophyta Bacillariophyta Coscinodiscophyceae Rhizosoleniales Rhizosoleniaceae Rhizosolenia,size_fraction=>20 µm}","{Classification=Rare}",0.00133182571853785,0.94006309148265,0.00141674078112919,0.96126871727753,298,0.36805434187651,0.00301929794059908,-0.0333121676932052,"Improvement"
"24","{taxa=Eukaryota Bacillariophyta Bacillariophyta NA NA NA NA,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00121562615920233,0.87741935483871,0.00138545628438501,0.897211884374732,272,0.179963479466432,0.0152200649061712,-0.102081154448122,"Improvement"
