"","LHS","RHS","support","confidence","coverage","lift","count","conviction","mutualInfo","improvement","Metric"
"1","{taxon=Bacteria_Proteobacteria_Alphaproteobacteria_SAR11 clade_Clade III_}","{Classification=Rare}",0.00675834970530452,1,0.00675834970530452,1.26077479441197,86,Inf,NA,1,"Complexity"
"2","{taxon=Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_KI89A clade_}","{Classification=Rare}",0.00738703339882122,1,0.00738703339882122,1.26077479441197,94,Inf,NA,1,"Complexity"
"3","{taxon=Bacteria_Proteobacteria_Alphaproteobacteria_SAR11 clade_Clade IV_}","{Classification=Rare}",0.00762278978388998,0.989795918367347,0.00770137524557957,1.2479097454894,97,20.2700196463654,0.0323100320333551,0.989795918367347,"Complexity"
"4","{taxon=Bacteria_Proteobacteria_Alphaproteobacteria_SAR11 clade_Clade I_Clade Ia,PelagicLayer=Mesopelagic,NO2=very high,Si=very high,Chl=Unknown}","{Classification=Abundant}",0.00102161100196464,0.928571428571429,0.00110019646365422,20.2329990215264,13,13.3574852652259,0.335038239908507,-0.00476190476190474,"Complexity"
"5","{taxon=Bacteria_Planctomycetota_OM190_,PO4=very high,Si=very high,Chl=Unknown,Temperature=very low}","{Classification=Undetermined}",0.00102161100196464,0.928571428571429,0.00110019646365422,5.76956612723214,13,11.7467976424361,0.186111186261745,0,"Complexity"
"6","{taxon=Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_NS4 marine group,PelagicLayer=Epipelagic,NH4=Unknown,Si=high}","{Classification=Undetermined}",0.00110019646365422,0.875,0.0012573673870334,5.43670654296875,14,6.7124557956778,0.162268072913611,-0.00735294117647056,"Complexity"
"7","{taxon=Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_NS9 marine group_,NH4=Unknown,Salinity=low}","{Classification=Undetermined}",0.00110019646365422,0.875,0.0012573673870334,5.43670654296875,14,6.7124557956778,0.162268072913611,0.875,"Complexity"
"8","{taxon=Bacteria_Nitrospinota_Nitrospinia_Nitrospinales_Nitrospinaceae_LS-NOB,Si=very high,Chl=Unknown,Temperature=very low}","{Classification=Undetermined}",0.00110019646365422,0.875,0.0012573673870334,5.43670654296875,14,6.7124557956778,0.162268072913611,0,"Complexity"
"9","{taxon=Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Cryomorphaceae_,PelagicLayer=Mesopelagic,NO2=very high,Chl=Unknown,WaterMass=TAW}","{Classification=Undetermined}",0.00102161100196464,0.866666666666667,0.00117878192534381,5.38492838541667,13,6.29292730844794,0.15705742123819,-0.0333333333333333,"Complexity"
"10","{taxon=Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Porticoccaceae_SAR92 clade,PelagicLayer=Mesopelagic,NO2=very high,Chl=Unknown,WaterMass=TAW}","{Classification=Undetermined}",0.00102161100196464,0.866666666666667,0.00117878192534381,5.38492838541667,13,6.29292730844794,0.15705742123819,0,"Complexity"
"11","{taxon=Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_,PelagicLayer=Epipelagic,NH4=Unknown,Si=low}","{Classification=Abundant}",0.00117878192534381,0.833333333333333,0.00141453831041257,18.1578196347032,15,5.72463654223969,0.28242857940464,0.833333333333333,"Complexity"
"12","{taxon=Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Nitrosomonadaceae_Nitrosomonas,PelagicLayer=Mesopelagic,NO2=very high,Chl=Unknown}","{Classification=Undetermined}",0.00117878192534381,0.833333333333333,0.00141453831041257,5.17781575520833,15,5.03434184675835,0.145936285677719,0,"Complexity"
"13","{taxon=Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_Ulvibacter,PelagicLayer=Epipelagic,NH4=Unknown,Temperature=very high}","{Classification=Undetermined}",0.00110019646365422,0.823529411764706,0.00133595284872299,5.11690027573529,14,4.75465618860511,0.140662720027515,0,"Complexity"
"14","{taxon=Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Planktomarina,PelagicLayer=Epipelagic,NH4=Unknown,Temperature=very high}","{Classification=Undetermined}",0.00110019646365422,0.823529411764706,0.00133595284872299,5.11690027573529,14,4.75465618860511,0.140662720027515,0,"Complexity"
"15","{taxon=Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_NS5 marine group,PO4=very high,Si=very high,Chl=Unknown,Temperature=very low}","{Classification=Undetermined}",0.00102161100196464,0.8125,0.0012573673870334,5.04837036132812,13,4.47497053045187,0.134994696277812,-0.0208333333333334,"Complexity"
"16","{taxon=Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Ascidiaceihabitans,PelagicLayer=Epipelagic,NH4=Unknown,Si=high}","{Classification=Undetermined}",0.00102161100196464,0.8125,0.0012573673870334,5.04837036132812,13,4.47497053045187,0.134994696277812,0.8125,"Complexity"
"17","{taxon=Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Rubritaleaceae_Roseibacillus,PelagicLayer=Epipelagic,NH4=Unknown,Si=high}","{Classification=Undetermined}",0.00102161100196464,0.8125,0.0012573673870334,5.04837036132812,13,4.47497053045187,0.134994696277812,-0.0110294117647058,"Complexity"
